City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Port Alfred,ZA,70.32,broken clouds,-33.5906,26.891,The Halyards Hotel
15,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,People ThankYou
18,Cockburn Town,TC,75.38,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
21,San Ramon De La Nueva Oran,AR,75.54,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
23,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Venice,US,79.11,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
32,Sibolga,ID,73.83,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
45,Sao Filipe,CV,74.21,clear sky,14.8961,-24.4956,Hotel Xaguate
46,Kedougou,SN,78.6,clear sky,12.5579,-12.1743,Relais de Kédougou
53,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
60,Palmas,BR,75.85,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
62,Dingle,PH,75.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Iquitos,PE,74.46,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
68,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
72,Innisfail,AU,77.22,overcast clouds,-17.5333,146.0333,Moondarra Motel
74,Oriximina,BR,78.08,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
78,Pout,SN,74.16,clear sky,14.7739,-17.0603,chez sada niang
80,Saint-Philippe,RE,78.35,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Cabo San Lucas,MX,74.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
91,Galle,LK,73.17,clear sky,6.0367,80.217,Amangalla
93,Sidareja,ID,74.98,overcast clouds,-7.4846,108.7923,Rumah Azis Toox
94,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
99,San Policarpo,PH,79.66,moderate rain,12.1791,125.5072,Agapita M. Nicart
108,Kawalu,ID,71.76,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
111,Beira,MZ,77.63,few clouds,-19.8436,34.8389,Beira Terrace Hotel
113,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Manggar,ID,77.38,broken clouds,-2.8833,108.2667,Guest Hotel
122,Atar,MR,71.42,clear sky,20.5169,-13.0499,Oumou Elghoura
135,Meulaboh,ID,74.77,overcast clouds,4.1363,96.1285,Kost Pria
139,Qui Nhon,VN,71.96,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
141,Waiuku,NZ,79.86,broken clouds,-37.25,174.75,Waiuku Lodge Motel
142,Cidreira,BR,76.21,broken clouds,-30.1811,-50.2056,Hotel Castelo
143,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
144,Bac Lieu,VN,77.49,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
147,Mar Del Plata,AR,70.88,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
162,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
165,Coxim,BR,76.87,overcast clouds,-18.5067,-54.76,Hotel Avenida
168,Rincon,US,73.58,few clouds,32.296,-81.2354,Days Inn Rincon
169,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
172,Mecca,SA,72.25,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
173,Kupang,ID,79.05,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
175,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
180,Salta,AR,75.49,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
196,Vung Tau,VN,76.05,few clouds,10.346,107.0843,Green hotel
199,Santa Isabel Do Rio Negro,BR,75.58,overcast clouds,-0.4139,-65.0192,Hotel GSA
204,Namibe,AO,72.7,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
205,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
206,Todos Santos,MX,73.44,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
213,Necochea,AR,71.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
215,Sinfra,CI,71.17,clear sky,6.6167,-5.9167,Hote Ivoire Sinfra
220,Biak,ID,77.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
226,Ahipara,NZ,75.99,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
235,Tamale,GH,78.49,clear sky,9.4008,-0.8393,Tap Hotel
238,Ituporanga,BR,72.1,scattered clouds,-27.4144,-49.6025,Hotel Jacaré
243,Tairua,NZ,74.08,scattered clouds,-37.0167,175.85,Pacific Harbour Villas
246,Sao Felix Do Xingu,BR,76.55,clear sky,-6.6447,-51.995,Rio Xingu Camping
247,Torres,BR,74.88,broken clouds,-29.3353,-49.7269,Farol Hotel
249,Vanimo,PG,79.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
252,Amuntai,ID,73.36,overcast clouds,-2.4177,115.2494,Hotel Balqis
254,La Asuncion,VE,76.89,clear sky,11.0333,-63.8628,Colinas de Matasiete
257,Hervey Bay,AU,77.04,light rain,-25.2986,152.8535,Shelly Bay Resort
260,Florianopolis,BR,76.23,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
265,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
266,Tacuarembo,UY,71.2,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
268,Ferkessedougou,CI,74.32,clear sky,9.6,-5.2,Hotel Chateau
270,Bandarbeyla,SO,73.42,clear sky,9.4942,50.8122,JABIR HOTEL
272,Prestea,GH,75.29,clear sky,5.4327,-2.1428,Garden Hill Hotel
277,Antalaha,MG,75.94,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
279,Malakal,SS,78.8,overcast clouds,9.5334,31.6605,Nile Palace Hotel
283,Caravelas,BR,77.49,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
284,Farafangana,MG,76.15,light rain,-22.8167,47.8333,Miarina
289,Kalmunai,LK,73.13,clear sky,7.4167,81.8167,VS Villa
291,Tabou,CI,79.66,clear sky,4.423,-7.3528,hotêl doufoulougou
293,Charters Towers,AU,74.91,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
294,Rosario Do Sul,BR,72.5,light rain,-30.2583,-54.9142,Hotel Areias Brancas
298,Paita,PE,73.92,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
301,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
308,East London,ZA,70.79,light rain,-33.0153,27.9116,Tu Casa
315,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
326,Mapiripan,CO,78.19,light rain,2.8892,-72.1256,Monserrate
327,Marau,BR,77.16,scattered clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
337,Paine,CL,78.71,scattered clouds,-33.8167,-70.75,Hotel El Almendro
347,Matara,LK,72.48,clear sky,5.9485,80.5353,Amaloh Boutique Resort
