City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tiksi,RU,71.6872,128.8694,-10.17,100,100,7.4,overcast clouds
1,Beringovskiy,RU,63.05,179.3167,0.86,78,99,19.55,overcast clouds
2,Fuengirola,ES,36.54,-4.6247,66.2,40,0,10.36,clear sky
3,Lompoc,US,34.6391,-120.4579,67.78,48,75,4.0,broken clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-20.13,100,100,10.02,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,70.32,79,83,18.16,broken clouds
6,Half Moon Bay,US,37.4636,-122.4286,66.79,54,75,1.99,broken clouds
7,Prince Rupert,CA,54.3161,-130.3201,44.69,87,100,18.41,moderate rain
8,Albany,US,42.6001,-73.9662,40.75,92,100,4.0,snow
9,Bluff,NZ,-46.6,168.3333,52.81,87,100,5.28,overcast clouds
10,Avarua,CK,-21.2078,-159.775,84.25,74,40,18.41,scattered clouds
11,Souillac,MU,-20.5167,57.5167,80.98,89,75,25.32,light rain
12,Lata,PT,40.1629,-8.3327,49.91,94,100,0.36,overcast clouds
13,Pahrump,US,36.2083,-115.9839,55.44,18,0,3.0,clear sky
14,Arivonimamo,MG,-19.0167,47.1833,68.05,92,100,1.05,light rain
15,Rikitea,PF,-23.1203,-134.9692,77.72,75,100,16.71,light rain
16,Vostok,RU,46.4856,135.8833,-11.6,99,100,3.62,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-13.25,61,100,7.4,overcast clouds
18,Cockburn Town,TC,21.4612,-71.1419,75.38,74,62,23.76,broken clouds
19,Thompson,CA,55.7435,-97.8558,-12.68,90,80,5.3,broken clouds
20,Lebu,CL,-37.6167,-73.65,61.54,88,93,12.17,overcast clouds
21,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,75.54,85,92,4.29,overcast clouds
22,Gawler,AU,-34.6,138.7333,66.25,55,0,11.61,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,4.61,broken clouds
24,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.37,light rain
25,Punta Arenas,CL,-53.15,-70.9167,50.02,57,0,11.5,clear sky
26,Craigieburn,AU,-37.6,144.95,66.42,64,20,13.8,few clouds
27,Stornoway,GB,58.2093,-6.3865,37.36,78,40,5.99,scattered clouds
28,Busselton,AU,-33.65,115.3333,80.04,36,39,7.96,scattered clouds
29,Ilulissat,GL,69.2167,-51.1,19.42,45,100,25.32,overcast clouds
30,Iqaluit,CA,63.7506,-68.5145,-20.07,91,100,1.79,overcast clouds
31,Venice,US,27.0998,-82.4543,79.11,77,0,12.66,haze
32,Sibolga,ID,1.7427,98.7792,73.83,88,58,3.98,broken clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,16,5.99,few clouds
34,Nikolskoye,RU,59.7035,30.7861,1.29,100,98,1.1,overcast clouds
35,Lermontovka,RU,47.1453,134.3383,-14.6,100,88,2.91,overcast clouds
36,Hithadhoo,MV,-0.6,73.0833,81.18,72,90,8.32,overcast clouds
37,Vaini,TO,-21.2,-175.2,86.16,79,40,8.05,scattered clouds
38,Ilo,PE,-17.6394,-71.3375,69.55,78,99,4.18,overcast clouds
39,Henties Bay,NA,-22.116,14.2845,68.86,86,1,7.63,clear sky
40,Lundazi,ZM,-12.2929,33.1782,64.49,93,65,3.47,light rain
41,Kruisfontein,ZA,-34.0033,24.7314,64.89,77,59,11.68,broken clouds
42,Talnakh,RU,69.4865,88.3972,-12.46,98,98,7.25,overcast clouds
43,Kodiak,US,57.79,-152.4072,40.51,87,100,8.05,light rain
44,Nanortalik,GL,60.1432,-45.2371,28.45,68,100,11.97,light snow
45,Sao Filipe,CV,14.8961,-24.4956,74.21,72,0,7.61,clear sky
46,Kedougou,SN,12.5579,-12.1743,78.6,13,0,3.65,clear sky
47,Krasnoborsk,RU,61.5598,45.934,2.73,99,88,3.69,overcast clouds
48,Ushuaia,AR,-54.8,-68.3,46.06,66,75,19.57,broken clouds
49,Kununurra,AU,-15.7667,128.7333,80.58,94,75,4.61,broken clouds
50,Pierre,US,44.3683,-100.351,25.86,41,58,1.99,broken clouds
51,Dongsheng,CN,39.8161,109.9776,5.02,67,0,8.46,clear sky
52,Khatanga,RU,71.9667,102.5,-33.18,100,35,3.6,scattered clouds
53,Kaeo,NZ,-35.1,173.7833,75.33,85,79,11.23,broken clouds
54,Hasaki,JP,35.7333,140.8333,34.29,54,71,13.06,broken clouds
55,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,36.82,heavy snow
56,Bonavista,CA,48.6499,-53.1147,37.11,81,100,29.15,overcast clouds
57,Krasnoselkup,RU,65.7,82.4667,14.02,96,99,8.75,overcast clouds
58,Sobolevo,RU,54.4299,31.8996,11.64,98,92,6.76,overcast clouds
59,Hermanus,ZA,-34.4187,19.2345,62.8,71,39,9.6,scattered clouds
60,Palmas,BR,-10.2128,-48.3603,75.85,86,11,0.07,few clouds
61,Tasiilaq,GL,65.6145,-37.6368,12.36,60,100,7.29,overcast clouds
62,Dingle,PH,10.9995,122.6711,75.09,92,95,8.25,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,64.27,65,75,4.0,broken clouds
64,Ponta Do Sol,PT,32.6667,-17.1,65.71,76,46,3.85,scattered clouds
65,Barcelos,PT,41.5388,-8.6151,52.29,92,100,1.48,overcast clouds
66,Iquitos,PE,-3.7481,-73.2472,74.46,95,100,0.49,overcast clouds
67,Bredasdorp,ZA,-34.5322,20.0403,62.28,82,20,3.44,few clouds
68,Georgetown,MY,5.4112,100.3354,79.9,93,20,0.0,few clouds
69,Nishihara,JP,26.1842,127.7558,61.88,88,75,8.05,broken clouds
70,Puteyets,RU,65.1716,57.091,16.11,96,100,5.5,overcast clouds
71,Port Elizabeth,ZA,-33.918,25.5701,67.1,72,96,13.11,overcast clouds
72,Innisfail,AU,-17.5333,146.0333,77.22,93,100,4.07,overcast clouds
73,Nuuk,GL,64.1835,-51.7216,16.41,73,75,8.05,light shower snow
74,Oriximina,BR,-1.7656,-55.8661,78.08,81,88,1.97,overcast clouds
75,Nome,US,64.5011,-165.4064,4.1,74,28,33.6,scattered clouds
76,Kaniama,CD,-7.5667,24.1833,64.83,99,100,1.66,light rain
77,Shizuishan,CN,39.2333,106.7694,14.22,43,1,2.28,clear sky
78,Pout,SN,14.7739,-17.0603,74.16,49,0,11.5,clear sky
79,Kirkuk,IQ,35.4681,44.3922,54.32,39,66,12.71,broken clouds
80,Saint-Philippe,RE,-21.3585,55.7679,78.35,95,100,37.96,heavy intensity rain
81,New Norfolk,AU,-42.7826,147.0587,64.65,48,11,1.99,few clouds
82,Dunkirk,FR,51.05,2.3667,48.02,79,98,13.44,overcast clouds
83,Castro,BR,-24.7911,-50.0119,66.47,95,83,4.65,broken clouds
84,Korla,CN,41.7597,86.1469,24.8,50,100,6.04,overcast clouds
85,Ormara,PK,25.2088,64.6357,67.51,27,0,12.93,clear sky
86,Butaritari,KI,3.0707,172.7902,82.11,74,24,15.32,light rain
87,Sisimiut,GL,66.9395,-53.6735,15.31,81,100,37.98,overcast clouds
88,Cabo San Lucas,MX,22.8909,-109.9124,74.52,49,75,1.01,broken clouds
89,Watertown,US,42.3709,-71.1828,44.85,96,100,0.0,mist
90,Kaa-Khem,RU,51.6833,94.7333,-19.1,93,44,3.27,scattered clouds
91,Galle,LK,6.0367,80.217,73.17,88,2,4.5,clear sky
92,Blackwater,AU,-23.5833,148.8833,80.49,59,79,11.92,broken clouds
93,Sidareja,ID,-7.4846,108.7923,74.98,93,100,2.62,overcast clouds
94,Atuona,PF,-9.8,-139.0333,78.75,74,9,15.21,clear sky
95,Provideniya,RU,64.3833,-173.3,4.46,60,95,22.79,overcast clouds
96,Svetlogorsk,BY,52.6333,29.7333,10.42,98,90,6.06,overcast clouds
97,Hamilton,US,39.1834,-84.5333,26.89,92,100,3.0,mist
98,Yangambi,CD,0.8102,24.4336,72.59,81,100,3.83,overcast clouds
99,San Policarpo,PH,12.1791,125.5072,79.66,86,91,17.65,moderate rain
100,Staunton,US,38.1496,-79.0717,48.34,97,100,0.0,moderate rain
101,Umm Lajj,SA,25.0213,37.2685,69.42,49,0,6.76,clear sky
102,Naron,ES,43.5167,-8.1528,54.03,87,100,6.04,overcast clouds
103,Dikson,RU,73.5069,80.5464,-14.26,98,99,5.7,overcast clouds
104,Colac,AU,-38.3333,143.5833,67.01,57,15,7.72,few clouds
105,Luderitz,NA,-26.6481,15.1594,68.54,67,2,14.92,clear sky
106,San Roque,ES,36.2107,-5.3842,59.83,55,0,6.91,clear sky
107,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,63,75,6.71,broken clouds
108,Kawalu,ID,-7.3817,108.2082,71.76,91,99,2.64,overcast clouds
109,Graham,US,47.0529,-122.2943,48.38,85,100,0.0,overcast clouds
110,Taltal,CL,-25.4,-70.4833,69.37,66,15,5.97,few clouds
111,Beira,MZ,-19.8436,34.8389,77.63,86,11,8.3,few clouds
112,Hobart,AU,-42.8794,147.3294,65.01,58,75,1.99,broken clouds
113,Kapaa,US,22.0752,-159.319,79.12,64,20,1.01,few clouds
114,Tecolutla,MX,20.4833,-97.0167,66.06,90,75,20.98,broken clouds
115,Jamestown,US,42.097,-79.2353,27.09,69,100,7.0,snow
116,Aklavik,CA,68.2191,-135.0107,-26.19,99,75,4.61,broken clouds
117,Cherskiy,RU,68.75,161.3,-32.49,100,9,3.58,clear sky
118,Manggar,ID,-2.8833,108.2667,77.38,86,76,3.76,broken clouds
119,Bambous Virieux,MU,-20.3428,57.7575,80.22,90,100,24.11,moderate rain
120,Yellowknife,CA,62.456,-114.3525,-20.58,83,48,5.01,scattered clouds
121,Barrow,US,71.2906,-156.7887,-23.78,76,20,4.61,few clouds
122,Atar,MR,20.5169,-13.0499,71.42,11,0,8.48,clear sky
123,Yerbogachen,RU,61.2767,108.0108,0.73,99,97,3.09,overcast clouds
124,Tahe,CN,52.3333,124.7333,-6.12,76,8,8.99,clear sky
125,Urusha,RU,54.05,122.9,-11.24,85,16,4.92,few clouds
126,Tual,ID,-5.6667,132.75,82.89,75,95,12.03,overcast clouds
127,Windsor,CA,42.3001,-83.0165,21.96,91,100,3.0,overcast clouds
128,Nyrob,RU,60.733,56.7202,-1.28,100,100,1.57,overcast clouds
129,Baykit,RU,61.67,96.37,15.64,96,100,3.8,light snow
130,Inuvik,CA,68.3499,-133.7218,-26.36,100,99,3.65,overcast clouds
131,Mahabaleshwar,IN,17.9167,73.6667,48.45,91,18,1.72,few clouds
132,Guanare,VE,9.0418,-69.7421,84.02,47,52,0.74,broken clouds
133,Spencer,US,43.1414,-95.1444,8.58,62,0,4.61,clear sky
134,Isangel,VU,-19.55,169.2667,86.11,79,75,4.61,broken clouds
135,Meulaboh,ID,4.1363,96.1285,74.77,85,96,2.21,overcast clouds
136,Victoria,HK,22.2855,114.1577,54.32,78,91,1.01,overcast clouds
137,Zhovti Vody,UA,48.3473,33.5003,25.16,90,99,15.66,overcast clouds
138,Preston,GB,53.7667,-2.7167,52.79,92,89,5.99,moderate rain
139,Qui Nhon,VN,13.7667,109.2333,71.96,86,97,13.13,overcast clouds
140,Zaozhuang,CN,34.8647,117.5542,31.21,60,49,3.98,scattered clouds
141,Waiuku,NZ,-37.25,174.75,79.86,67,70,11.01,broken clouds
142,Cidreira,BR,-30.1811,-50.2056,76.21,86,61,21.79,broken clouds
143,San Cristobal,VE,7.7669,-72.225,77.18,51,78,1.19,broken clouds
144,Bac Lieu,VN,9.285,105.7244,77.49,83,27,19.48,scattered clouds
145,Namatanai,PG,-3.6667,152.4333,81.81,76,93,11.54,light rain
146,Ancud,CL,-41.8697,-73.8203,65.23,93,65,7.29,light rain
147,Mar Del Plata,AR,-38.0023,-57.5575,70.88,90,54,5.99,broken clouds
148,Klaksvik,FO,62.2266,-6.589,36.52,50,50,39.84,scattered clouds
149,Orlik,RU,52.5178,99.825,-19.71,96,91,2.35,overcast clouds
150,Qaqortoq,GL,60.7167,-46.0333,27.1,92,100,6.91,light snow
151,Chizhou,CN,30.6578,117.4831,37.44,93,100,2.8,overcast clouds
152,Naryan-Mar,RU,67.6713,53.087,-4.59,100,97,4.14,overcast clouds
153,Kamaishi,JP,39.2667,141.8833,27.55,62,47,8.19,scattered clouds
154,Sitka,US,57.0531,-135.33,39.09,93,100,5.75,moderate rain
155,Naze,JP,28.3667,129.4833,54.41,76,100,18.28,overcast clouds
