City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2022-01-31 05:33:44,65.6145,-37.6368,4.8,62,100,6.67
1,Cape Town,ZA,2022-01-31 05:33:43,-33.9258,18.4232,70.11,81,0,1.01
2,Saint-Philippe,RE,2022-01-31 05:31:50,-21.3585,55.7679,83.75,83,86,13.85
3,Bac Lieu,VN,2022-01-31 05:34:28,9.285,105.7244,85.86,59,4,18.19
4,Busselton,AU,2022-01-31 05:33:40,-33.65,115.3333,79.09,29,92,17.07
5,Punta Arenas,CL,2022-01-31 05:30:41,-53.15,-70.9167,48.31,71,40,23.02
6,Bosaso,SO,2022-01-31 05:34:29,11.2842,49.1816,75.18,83,20,4.61
7,Hobart,AU,2022-01-31 05:34:29,-42.8794,147.3294,85.26,56,20,1.01
8,Qasigiannguit,GL,2022-01-31 05:34:29,68.8193,-51.1922,-9.6,64,53,11.65
9,San Martin,AR,2022-01-31 05:34:30,-33.081,-68.4681,76.77,29,26,11.43
10,East London,ZA,2022-01-31 05:30:18,-33.0153,27.9116,74.34,83,0,8.05
11,Pangnirtung,CA,2022-01-31 05:34:30,66.1451,-65.7125,-23.58,85,64,5.93
12,Rikitea,PF,2022-01-31 05:33:41,-23.1203,-134.9692,77.27,63,100,5.53
13,Atuona,PF,2022-01-31 05:34:31,-9.8,-139.0333,78.12,75,9,15.41
14,Sambava,MG,2022-01-31 05:34:31,-14.2667,50.1667,82.8,68,56,9.48
15,Smithers,CA,2022-01-31 05:34:31,54.7804,-127.1743,25.12,100,100,2.3
16,Hami,CN,2022-01-31 05:34:32,42.8,93.45,28.85,30,93,6.69
17,Tiksi,RU,2022-01-31 05:34:32,71.6872,128.8694,-13.59,99,100,3.53
18,New Norfolk,AU,2022-01-31 05:34:32,-42.7826,147.0587,84.9,34,1,3.0
19,Udachnyy,RU,2022-01-31 05:34:33,66.4167,112.4,-25.89,99,74,3.09
20,Mar Del Plata,AR,2022-01-31 05:34:33,-38.0023,-57.5575,62.62,65,0,11.01
21,Ushuaia,AR,2022-01-31 05:30:44,-54.8,-68.3,42.46,75,40,10.36
22,Pau,FR,2022-01-31 05:34:33,43.4167,-0.5833,40.82,100,100,2.3
23,Ancud,CL,2022-01-31 05:34:34,-41.8697,-73.8203,45.43,83,13,3.33
24,Torbay,CA,2022-01-31 05:33:37,47.6666,-52.7314,35.58,84,100,24.16
25,Arraial Do Cabo,BR,2022-01-31 05:33:07,-22.9661,-42.0278,74.25,96,100,6.85
26,Ribeira Grande,PT,2022-01-31 05:34:34,38.5167,-28.7,59.32,73,35,23.17
27,Mataura,NZ,2022-01-31 05:34:35,-46.1927,168.8643,72.48,60,94,3.98
28,Green River,US,2022-01-31 05:33:21,41.5286,-109.4662,28.8,49,18,3.38
29,Uporovo,RU,2022-01-31 05:34:35,56.3109,66.2693,7.47,92,94,5.93
30,Hermanus,ZA,2022-01-31 05:33:10,-34.4187,19.2345,76.89,76,100,12.8
31,Alta Floresta,BR,2022-01-31 05:33:47,-9.8756,-56.0861,69.39,99,100,2.8
32,Port Elizabeth,ZA,2022-01-31 05:34:36,-33.918,25.5701,68.29,94,20,4.61
33,Izumo,JP,2022-01-31 05:34:36,35.3667,132.7667,42.75,65,75,14.97
34,Tuktoyaktuk,CA,2022-01-31 05:34:37,69.4541,-133.0374,-2.2,84,100,20.71
35,Husavik,IS,2022-01-31 05:34:37,66.0449,-17.3389,21.11,64,93,16.11
36,Albany,US,2022-01-31 05:32:57,42.6001,-73.9662,9.21,67,20,2.57
37,Teya,RU,2022-01-31 05:34:37,60.3778,92.6267,10.51,91,100,3.06
38,Barrow,US,2022-01-31 05:33:43,71.2906,-156.7887,-5.78,77,0,11.5
39,Hualmay,PE,2022-01-31 05:34:38,-11.0964,-77.6139,69.55,87,100,6.26
40,Dikson,RU,2022-01-31 05:34:38,73.5069,80.5464,-3.37,94,100,22.3
41,Camp Verde,US,2022-01-31 05:34:38,34.5636,-111.8543,51.33,45,0,1.99
42,Constitucion,CL,2022-01-31 05:33:14,-35.3333,-72.4167,58.8,66,0,7.52
43,Bamnet Narong,TH,2022-01-31 05:34:39,15.4992,101.6897,93.34,30,39,6.76
44,Kijang,KR,2022-01-31 05:34:39,35.2442,129.2139,46.13,13,0,2.21
45,Yellowknife,CA,2022-01-31 05:34:40,62.456,-114.3525,-11.58,86,75,10.36
46,Bredasdorp,ZA,2022-01-31 05:34:40,-34.5322,20.0403,74.28,88,100,8.05
47,Lexington,US,2022-01-31 05:33:55,37.9887,-84.4777,30.34,74,0,4.61
48,Verkhoyansk,RU,2022-01-31 05:35:41,67.5447,133.385,-33.32,100,84,1.21
49,Bilibino,RU,2022-01-31 05:35:41,68.0546,166.4372,-7.74,95,82,4.45
50,Cockburn Town,TC,2022-01-31 05:35:41,21.4612,-71.1419,73.44,82,97,18.59
